word,syllable break,phoneme,syllabilized phonemes
races,rac.es,ɹ ˈeɪ s ɪ z,ɹ ˈeɪ s . ɪ z
compete,com.pete,k ə m p ˈi t,k ə m . p ˈi t
cheers,cheers,t͡ʃ ˈɪ ɹ z,t͡ʃ ˈɪ ɹ z
hood,hood,h ˈʊ d,h ˈʊ d
engine,en.gine,ˈɛ n d͡ʒ ə n,ˈɛ n . d͡ʒ ə n
lightning,light.ning,l ˈaɪ t n ɪ ŋ,l ˈaɪ t . n ɪ ŋ
miles,miles,m ˈaɪ l z,m ˈaɪ l z
scooter,scoot.er,s k ˈu t ɚ,s k ˈu . t ɚ
pigment,pig.ment,p ˈɪ ɡ m ə n t,p ˈɪ ɡ . m ə n t
driving,driv.ing,d ɹ ˈaɪ v ɪ ŋ,d ɹ ˈaɪ . v ɪ ŋ
microphone,mi.cro.phone,m ˈaɪ k ɹ oʊ f ˌoʊ n,m ˈaɪ . k ɹ oʊ . f ˌoʊ n
jet,jet,d͡ʒ ˈɛ t,d͡ʒ ˈɛ t
ski,ski,s k ˈi,s k ˈi
microscope,mi.cro.scope,m ˈaɪ k ɹ oʊ s k ˌoʊ p,m ˈaɪ . k ɹ oʊ . s k ˌoʊ p
payment,pay.ment,p ˈeɪ m ə n t,p ˈeɪ . m ə n t
figment,fig.ment,f ˈɪ ɡ m ɪ n t,f ˈɪ ɡ . m ɪ n t
imagination,im.ag.i.na.tion,ɪ m ˌæ d͡ʒ ɪ n ˈeɪ ʃ ə n,ɪ . m ˌæ d͡ʒ . ɪ . n ˈeɪ . ʃ ə n
microscopes,mi.cro.scopes,m ˈaɪ k ɹ oʊ s k ˌoʊ p s,m ˈaɪ . k ɹ oʊ . s k ˌoʊ p s
midsummer,mid.sum.mer,m ˈɪ d s ˈʌ m ɚ,m ˈɪ d . s ˈʌ m . ɚ
millimeter,mil.li.me.ter,m ˈɪ l ɪ m ˌi t ɚ,m ˈɪ l . ɪ . m ˌi . t ɚ
french,french,f ɹ ˈɛ n t͡ʃ,f ɹ ˈɛ n t͡ʃ
norse,norse,n ˈɔ ɹ s,n ˈɔ ɹ s
whales,whales,w ˈeɪ l z,w ˈeɪ l z
saint,saint,s ˈeɪ n t,s ˈeɪ n t
george,george,d͡ʒ ˈɔ ɹ d͡ʒ,d͡ʒ ˈɔ ɹ d͡ʒ
girls,girls,ɡ ˈɚ l z,ɡ ˈɚ l z
egypt,e.gypt,ˈi d͡ʒ ɪ p t,ˈi . d͡ʒ ɪ p t
labels,la.bels,l ˈeɪ b ə l z,l ˈeɪ . b ə l z
kidnap,kid.nap,k ˈɪ d n ˌæ p,k ˈɪ d . n ˌæ p
hero,he.ro,h ˈɪ ɹ oʊ,h ˈɪ ɹ . oʊ
slays,slays,s l ˈeɪ z,s l ˈeɪ z
burn,burn,b ˈɚ n,b ˈɚ n
horns,horns,h ˈɔ ɹ n z,h ˈɔ ɹ n z
hybrids,hy.brids,h ˈaɪ b ɹ ɪ d z,h ˈaɪ . b ɹ ɪ d z
european,eur.o.pe.an,j ˌʊ ɹ ə p ˈi ə n,j ˌʊ ɹ . ə . p ˈi . ə n
statues,stat.ues,s t ˈæ t͡ʃ ˌu z,s t ˈæ . t͡ʃ ˌu z
slavic,sla.vic,s l ˈɑ v ɪ k,s l ˈɑ . v ɪ k
brute,bru.te,b ɹ ˈu t,b ɹ ˈu t
crawls,crawls,k ɹ ˈɔ l z,k ɹ ˈɔ l z
chews,chews,t͡ʃ ˈu z,t͡ʃ ˈu z
millimeters,mil.li.me.ters,m ˈɪ l ɪ m ˌi t ɚ z,m ˈɪ l . ɪ . m ˌi . t ɚ z
maps,maps,m ˈæ p s,m ˈæ p s
drawings,draw.ings,d ɹ ˈɔ ɪ ŋ z,d ɹ ˈɔ . ɪ ŋ z
sailors,sail.ors,s ˈeɪ l ɚ z,s ˈeɪ . l ɚ z
haunt,haunt,h ˈɔ n t,h ˈɔ n t
myths,myths,m ˈɪ θ s,m ˈɪ θ s
monoculture,mon.o.cul.ture,m ˈɑ n ə k ˌʌ l t͡ʃ ɚ,m ˈɑ n . n ə . k ˌʌ l .  t͡ʃ ɚ
slayed,slayed,s l ˈeɪ d,s l ˈeɪ d
refuge,ref.uge,ɹ ˈɛ f j u d͡ʒ,ɹ ˈɛ f . j u d͡ʒ
demands,de.mands,d ɪ m ˈæ n d z,d ɪ . m ˈæ n d z
maiden,maid.en,m ˈeɪ d ə n,m ˈeɪ . d ə n
daily,dai.ly,d ˈeɪ l i,d ˈeɪ . l i
symbol,sym.bol,s ˈɪ m b ə l,s ˈɪ m . b ə l
novels,nov.els,n ˈɑ v ə l z,n ˈɑ . v ə l z
cycles,cy.cles,s ˈaɪ k ə l z,s ˈaɪ . k ə l z
involving,in.volv.ing,ɪ n v ˈɑ l v ɪ ŋ,ɪ n . v ˈɑ l v . ɪ ŋ
monotone,mon.o.tone,m ˈɑ n oʊ t ˌoʊ n,m ˈɑ n . oʊ . t ˌoʊ n
popular,pop.u.lar,p ˈɑ p j ə l ɚ,p ˈɑ . p j ə . l ɚ
movies,mov.ies,m ˈu v i z,m ˈu . v i z
slain,slain,s l ˈeɪ n,s l ˈeɪ n
maidens,maid.ens,m ˈeɪ d ə n z,m ˈeɪ . d ə n z
stolen,sto.len,s t ˈoʊ l ə n,s t ˈoʊ . l ə n
troublesome,trou.ble.some,t ɹ ˈʌ b ə l s ə m,t ɹ ˈʌ b . ə l . s ə m
mucus-laden,mu.cus.la.den,m j ˈu k ə s l ˈeɪ d ə n,m j ˈu . k ə s . l ˈeɪ d . ə n
folklore,folk.lore,f ˈoʊ k l ˌɔ ɹ,f ˈoʊ k . l ˌɔ ɹ
aim,aim,ˈeɪ m,ˈeɪ m
treated,treated,t ɹ ˈi t ɪ d,t ɹ ˈi t ɪ d
fairly,fair.ly,f ˈɛ ɹ l i,f ˈɛ ɹ . l i
treasures,treas.ures,t ɹ ˈɛ ʒ ɚ z,t ɹ ˈɛ ʒ . ɚ z
household,house.hold,h ˈaʊ s h ˌoʊ l d,h ˈaʊ s . h ˌoʊ l d
neighbours,neigh.bours,n ˈeɪ b ɚ z,n ˈeɪ . b ɚ z
scorned,scorned,s k ˈɔ ɹ n d,s k ˈɔ ɹ n d
hydra,hy.dra,h ˈaɪ d ɹ ə,h ˈaɪ . d ɹ ə
hercules,her.cu.les,h ˈɚ k j ə l ˌi z,h ˈɚ . k j ə . l ˌi z
fought,fought,f ˈɔ t,f ˈɔ t
muddled,mud.dled,m ˈʌ d ə l d,m ˈʌ d . ə l d
immediately,im.me.di.ate.ly,ɪ m ˈi d i ɪ t l i,ɪ . m ˈi . d i . ɪ t . l i
sprout,sprout,s p ɹ ˈaʊ t,s p ɹ ˈaʊ t
traditionally,tra.di.tion.al.ly,t ɹ ə d ˈɪ ʃ ə n ə l i,t ɹ ə . d ˈɪ ʃ . ə n . ə l . i
qualities,qual.i.ties,k w ˈɑ l ə t i z,k w ˈɑ . l ə . t i z
griffin,grif.fin,ɡ ɹ ˈɪ f ɪ n,ɡ ɹ ˈɪ f . ɪ n
multi-coloured,mul.ti.col.oured,m ˈʌ l t i k ˈʌ l ɚ d,m ˈʌ l . t i . k ˈʌ l . ɚ d
scorpion,scor.pi.on,s k ˈɔ ɹ p i ə n,s k ˈɔ ɹ . p i . ə n
artifacts,ar.ti.facts,ˈɑ ɹ t ə f ˌæ k t s,ˈɑ ɹ . t ə . f ˌæ k t s
carved,carved,k ˈɑ ɹ v d,k ˈɑ ɹ v d
shields,shields,ʃ ˈi l d z,ʃ ˈi l d z
flags,flags,f l ˈæ ɡ z,f l ˈæ ɡ z
decorative,deco.ra.tive,d ˈɛ k ɹ ɪ t ɪ v,d ˈɛ k . ɹ ɪ . t ɪ v
bridges,bridg.es,b ɹ ˈɪ d͡ʒ ɪ z,b ɹ ˈɪ d͡ʒ . ɪ z
mystery,mys.ter.y,m ˈɪ s t ɚ i,m ˈɪ s . t ɚ . i
masters,mas.ters,m ˈæ s t ɚ z,m ˈæ s . t ɚ z
famous,fa.mous,f ˈeɪ m ə s,f ˈeɪ . m ə s
mythology,my.thol.o.gy,m ɪ θ ˈɑ l ə d͡ʒ i,m ɪ . θ ˈɑ . l ə . d͡ʒ i
supports,sup.ports,s ə p ˈɔ ɹ t s,s ə . p ˈɔ ɹ t s
narrow,nar.row,n ˈɛ ɹ oʊ,n ˈɛ ɹ . ɹ oʊ
ragnarok,rag.nar.ok,ɹ ˈæ ɡ n ˈɑ ɹ ə k,ɹ ˈæ ɡ . n ˈɑ . ɹ ə k
represented,re.pre.sent.ed,ɹ ˌɛ p ɹ ɪ z ˈɛ n t ɪ d,ɹ ˌɛ . p ɹ ɪ z . ˈɛ n t . ɪ d
cetus,cetus,s ˈi t ə s,s ˈi . t ə s
whose,whose,h ˈu z,h ˈu z
greek,greek,ɡ ɹ ˈi k,ɡ ɹ ˈi k
constellations,constellations,k ˌɑ n s t ə l ˈeɪ ʃ ə n z,k ˌɑ n s t ə l ˈeɪ ʃ ə n z
nectar,nec.tar,n ˈɛ k t ɚ,n ˈɛ k . t ɚ
neither,nei.ther,n ˈi ð ɚ,n ˈi . ð ɚ
eater,eat.er,ˈi t ɚ,ˈi . t ɚ
egyptian,e.gyp.tian,ɪ d͡ʒ ˈɪ p ʃ ə n,ɪ . d͡ʒ ˈɪ p . ʃ ə n
culture,cul.ture,k ˈʌ l t͡ʃ ɚ,k ˈʌ l . t͡ʃ ɚ
welsh,welsh,w ˈɛ l ʃ,w ˈɛ l ʃ
flag,flag,f l ˈæ ɡ,f l ˈæ ɡ
represents,rep.re.sents,ɹ ˌɛ p ɹ ɪ z ˈɛ n t s,ɹ ˌɛ p . ɹ ɪ . z ˈɛ n t s
never,ne.ver,n ˈɛ v ɚ,n ˈɛ . v ɚ
nibble,nib.ble,n ˈɪ b ə l,n ˈɪ b . ə l
shelter,shel.ter,ʃ ˈɛ l t ɚ,ʃ ˈɛ l . t ɚ
symbols,sym.bols,s ˈɪ m b ə l z,s ˈɪ m . b ə l z
shown,shown,ʃ ˈoʊ n,ʃ ˈoʊ n
biting,bit.ing,b ˈaɪ t ɪ ŋ,b ˈaɪ t . ɪ ŋ
nidhogg,nɪd.hɒg,n ˈɪ d h ˌɔ ɡ,n ˈɪ d . h ˌɔ ɡ
including,in.clud.ing,ɪ ŋ k l ˈu d ɪ ŋ,ɪ ŋ . k l ˈu . d ɪ ŋ
morals,mor.als,m ˈɔ ɹ ə l z,m ˈɔ ɹ . ə l z
november,no.vem.ber,n oʊ v ˈɛ m b ɚ,n oʊ . v ˈɛ m . b ɚ
kapok,ka.pok,k ˈeɪ p ɑ k,k ˈeɪ . p ɑ k
gifts,gifts,ɡ ˈɪ f t s,ɡ ˈɪ f t s
nesting,,n ˈɛ s t ɪ ŋ,
hatches,hatch.es,h ˈæ t͡ʃ ɪ z,h ˈæ t͡ʃ . ɪ z
feeder,feed.er,f ˈi d ɚ,f ˈi . d ɚ
grain,grain,ɡ ɹ ˈeɪ n,ɡ ɹ ˈeɪ n
twigs,twigs,t w ˈɪ ɡ z,t w ˈɪ ɡ z
crushes,crushes,k ɹ ˈʌ ʃ ɪ z,k ɹ ˈʌ ʃ ɪ z
reaches,reaches,ɹ ˈi t͡ʃ ɪ z,ɹ ˈi t͡ʃ ɪ z
coop,coop,k ˈu p,k ˈu p
logs,logs,l ˈɔ ɡ z,l ˈɔ ɡ z
grasses,grasses,ɡ ɹ ˈæ s ɪ z,ɡ ɹ ˈæ s ɪ z
earred,earred,ˈɛ ɹ ɪ d,ˈɛ ɹ ɪ d
lookout,look.out,l ˈʊ k ˌaʊ t,l ˈʊ k . ˌaʊ t
crunches,crunches,k ɹ ˈʌ n t͡ʃ ɪ z,k ɹ ˈʌ n t͡ʃ ɪ z
obnoxiously,ob.nox.ious.ly,ˈɑ b n ˈɑ k s i ˈɔ s l i,ˈɑ b . n ˈɑ k . s i ˈɔ s . l i
desert,de.sert,d ˈɛ z ɚ t,d ˈɛ z . ɚ t
crickets,crick.ets,k ɹ ˈɪ k ɪ t s,k ɹ ˈɪ k . ɪ t s
polar,po.lar,p ˈoʊ l ɚ,p ˈoʊ . l ɚ
sheds,sheds,ʃ ˈɛ d z,ʃ ˈɛ d z
rub,rub,ɹ ˈʌ b,ɹ ˈʌ b
snouts,snouts,s n ˈaʊ t s,s n ˈaʊ t s
dens,dens,d ˈɛ n z,d ˈɛ n z
stump,stump,s t ˈʌ m p,s t ˈʌ m p
laze,laze,l ˈeɪ z,l ˈeɪ z
vitamin,vi.ta.min,v ˈaɪ t ə m ə n,v ˈaɪ . t ə . m ə n
flicks,flicks,f l ˈɪ k s,f l ˈɪ k s
switches,switches,s w ˈɪ t͡ʃ ɪ z,s w ˈɪ t͡ʃ ɪ z
screens,screens,s k ɹ ˈi n z,s k ɹ ˈi n z
orbit,or.bit,ˈɔ ɹ b ɪ t,ˈɔ ɹ . b ɪ t
suit,suit,s ˈu t,s ˈu t
site,site,s ˈaɪ t,s ˈaɪ t
stores,stores,s t ˈɔ ɹ z,s t ˈɔ ɹ z
files,files,f ˈaɪ l z,f ˈaɪ l z
frills,frills,f ɹ ˈɪ l z,f ɹ ˈɪ l z
stitches,stitches,s t ˈɪ t͡ʃ ɪ z,s t ˈɪ t͡ʃ ɪ z
toes,toes,t ˈoʊ z,t ˈoʊ z
couches,couches,k ˈaʊ t͡ʃ ɪ z,k ˈaʊ t͡ʃ . ɪ z
patches,patches,p ˈæ t͡ʃ ɪ z,p ˈæ t͡ʃ ɪ z
sewing,sew.ing,s ˈoʊ ɪ ŋ,s ˈoʊ . ɪ ŋ
collar,col.lar,k ˈɑ l ɚ,k ˈɑ . l ɚ
sock,sock,s ˈɑ k,s ˈɑ k
dolls,dolls,d ˈɑ l z,d ˈɑ l z
drag,drag,d ɹ ˈæ ɡ,d ɹ ˈæ ɡ
per,per,p ˈɚ,p ˈɚ
emma's,em.mas,ˈɛ m ə z,
crashes,crashes,k ɹ ˈæ ʃ ɪ z,k ɹ ˈæ ʃ ɪ z
often,of.ten,ˈɔ f t ə n,ˈɔ f . t ə n
tugs,tugs,t ˈʌ ɡ z,t ˈʌ ɡ z
cookies,cook.ies,k ˈʊ k i z,k ˈʊ k . i z
bluish,blu.ish,b l ˈu ɪ ʃ,b l ˈu . ɪ ʃ
fluent,flu.ent,f l ˈu ə n t,f l ˈu . ə n t
shadows,shad.ows,ʃ ˈæ d oʊ z,ʃ ˈæ d . oʊ z
pillows,pil.lows,p ˈɪ l oʊ z,p ˈɪ l . oʊ z
blankets,blan.kets,b l ˈæ ŋ k ɪ t s,b l ˈæ ŋ . k ɪ t s
brief,brief,b ɹ ˈi f,b ɹ ˈi f
stomp,stomp,s t ˈɑ m p,s t ˈɑ m p
fields,fields,f ˈi l d z,f ˈi l d z
halt,halt,h ˈɔ l t,h ˈɔ l t
chief,chief,t͡ʃ ˈi f,t͡ʃ ˈi f
wield,wield,w ˈi l d,w ˈi l d
stole,stole,s t ˈoʊ l,s t ˈoʊ l
fried,fried,f ɹ ˈaɪ d,f ɹ ˈaɪ d
spied,spied,s p ˈaɪ d,s p ˈaɪ d
grief,grief,ɡ ɹ ˈi f,ɡ ɹ ˈi f
teen,teen,t ˈi n,t ˈi n
tick,tick,t ˈɪ k,t ˈɪ k
tock,tock,t ˈɑ k,t ˈɑ k
clicks,clicks,k l ˈɪ k s,k l ˈɪ k s
carts,carts,k ˈɑ ɹ t s,k ˈɑ ɹ t s
di,di,d ˈi,d ˈi
nib,nib,n ˈɪ b,n ˈɪ b
yarn,yarn,j ˈɑ ɹ n,j ˈɑ ɹ n
shout,shout,ʃ ˈaʊ t,ʃ ˈaʊ t
key,key,k ˈi,k ˈi
waist,waist,w ˈeɪ s t,w ˈeɪ s t
grasp,grasp,ɡ ɹ ˈæ s p,ɡ ɹ ˈæ s p
kate,kate,k ˈeɪ t,k ˈeɪ t
sunrise,sun.rise,s ˈʌ n ɹ ˌaɪ z,s ˈʌ n . ɹ ˌaɪ z
ok,o.k,ˈoʊ k,ˈoʊ . k ˈeɪ
housework,housework,h ˈaʊ s w ˌɚ k,h ˈaʊ s w ˌɚ k
gleams,gleams,ɡ l ˈi m z,ɡ l ˈi m z
cranky,crank.y,k ɹ ˈæ ŋ k i,k ɹ ˈæ ŋ . k i
growls,growls,ɡ ɹ ˈaʊ l z,ɡ ɹ ˈaʊ l z
huff,huff,h ˈʌ f,h ˈʌ f
cobwebs,cob.webs,k ˈɑ b w ˌɛ b z,k ˈɑ b . w ˌɛ b z
bathtub,bath.tub,b ˈæ θ t ə b,b ˈæ θ . t ə b
soaps,soaps,s ˈoʊ p s,s ˈoʊ p s
combs,combs,k ˈoʊ m z,k ˈoʊ m z
sweep,sweep,s w ˈi p,s w ˈi p
praises,praises,p ɹ ˈeɪ z ɪ z,p ɹ ˈeɪ z ɪ z
scoops,scoops,s k ˈu p s,s k ˈu p s
ken,ken,k ˈɛ n,k ˈɛ n
beg,beg,b ˈɛ ɡ,b ˈɛ ɡ
mom,mom,m ˈɑ m,m ˈɑ m
exercise,ex.er.cise,ˈɛ k s ɚ s ˌaɪ z,ˈɛ k . s ɚ . s ˌaɪ z
slips,slips,s l ˈɪ p s,s l ˈɪ p s
bounces,bounces,b ˈaʊ n s ɪ z,b ˈaʊ n s ɪ z
loudly,loud.ly,l ˈaʊ d l i,l ˈaʊ d . l i
pace,pace,p ˈeɪ s,p ˈeɪ s
chasing,chas.ing,t͡ʃ ˈeɪ s ɪ ŋ,t͡ʃ ˈeɪ s . ɪ ŋ
gardens,gar.dens,ɡ ˈɑ ɹ d ə n z,ɡ ˈɑ ɹ . d ə n z
itchy,itchy,ˈɪ t͡ʃ i,ˈɪ t͡ʃ i
bruce,bruce,b ɹ ˈu s,b ɹ ˈu s
forgets,for.gets,f ɚ ɡ ˈɛ t s,f ɚ . ɡ ˈɛ t s
speeds,speeds,s p ˈi d z,s p ˈi d z
slower,slow.er,s l ˈoʊ ɚ,s l ˈoʊ ɚ .
okay,o.kay,ˌoʊ k ˈeɪ,ˌoʊ . k ˈeɪ
nuts,nuts,n ˈʌ t s,n ˈʌ t s
tum,tum,t ˈʌ m,t ˈʌ m
bets,bets,b ˈɛ t s,b ˈɛ t s
one-legged,one.leg.ged,w ˈʌ n l ˈɛ ɡ d,w ˈʌ n . l ˈɛ ɡ . ɡ d
upside,up.side,ˈʌ p s ˈaɪ d,ˈʌ p . s ˈaɪ d
honey,hon.ey,h ˈʌ n i,h ˈʌ n . i
politely,po.lite.ly,p ə l ˈaɪ t l i,p ə . l ˈaɪ t . l i
fraught,fraught,f ɹ ˈɔ t,f ɹ ˈɔ t
tummy,tum.my,t ˈʌ m i,t ˈʌ m . i
hunger,hun.ger,h ˈʌ ŋ ɡ ɚ,h ˈʌ ŋ . ɡ ɚ
grits,grits,ɡ ɹ ˈɪ t s,ɡ ɹ ˈɪ t s
frustration,frus.tra.tion,f ɹ ə s t ɹ ˈeɪ ʃ ə n,f ɹ ə s . t ɹ ˈeɪ . ʃ ə n
bunny,bun.ny,b ˈʌ n i,b ˈʌ n . i
accusation,ac.cu.sa.tion,ˌæ k j u z ˈeɪ ʃ ə n,ˌæ k . j u . z ˈeɪ . ʃ ə n
harvest,har.vest,h ˈɑ ɹ v ɪ s t,h ˈɑ ɹ . v ɪ s t
ties,ties,t ˈaɪ z,t ˈaɪ z
calmly,calm.ly,k ˈɑ m l i,k ˈɑ m . l i
midnight,mid.night,m ˈɪ d n ˌaɪ t,m ˈɪ d . n ˌaɪ t
bog,bog,b ˈɔ ɡ,b ˈɔ ɡ
strap,strap,s t ɹ ˈæ p,s t ɹ ˈæ p
poke,poke,p ˈoʊ k,p ˈoʊ k
roast,roast,ɹ ˈoʊ s t,ɹ ˈoʊ s t
sweets,sweets,s w ˈi t s,s w ˈi t s
crow,crow,k ɹ ˈoʊ,k ɹ ˈoʊ
newt,newt,n ˈu t,n ˈu t
pangs,pangs,p ˈæ ŋ z,p ˈæ ŋ z
drums,drums,d ɹ ˈʌ m z,d ɹ ˈʌ m z
throng,throng,θ ɹ ˈɔ ŋ,θ ɹ ˈɔ ŋ
operation,op.er.a.tion,ˌɑ p ɚ ˈeɪ ʃ ə n,ˌɑ . p ɚ . ɹ ˈeɪ . ʃ ə n
blight,blight,b l ˈaɪ t,b l ˈaɪ t
spade,spade,s p ˈeɪ d,s p ˈeɪ d
screws,screws,s k ɹ ˈu z,s k ɹ ˈu z
sketch,sketch,s k ˈɛ t͡ʃ,s k ˈɛ t͡ʃ
dot,dot,d ˈɑ t,d ˈɑ t
haul,haul,h ˈɔ l,h ˈɔ l
necks,necks,n ˈɛ k s,n ˈɛ k s
squat,squat,s k w ˈɑ t,s k w ˈɑ t
graze,graze,ɡ ɹ ˈeɪ z,ɡ ɹ ˈeɪ z
cows,cows,k ˈaʊ z,k ˈaʊ z
swell,swell,s w ˈɛ l,s w ˈɛ l
child,child,t͡ʃ ˈaɪ l d,t͡ʃ ˈaɪ l d
oil,oil,ˈɔɪ l,ˈɔɪ l
foam,foam,f ˈoʊ m,f ˈoʊ m
whoa,whoa,w ˈoʊ,w ˈoʊ
shouts,shouts,ʃ ˈaʊ t s,ʃ ˈaʊ t s
lazy,la.zy,l ˈeɪ z i,l ˈeɪ . z i
don,don,d ˈɑ n,d ˈɑ n
chooses,choos.es,t͡ʃ ˈu z ɪ z,t͡ʃ ˈu z . ɪ z
lollipop,lol.li.pop,l ˈɑ l i p ˌɑ p,l ˈɑ l . i . p ˌɑ p
fetches,fetches,f ˈɛ t͡ʃ ɪ z,f ˈɛ t͡ʃ ɪ z
peg,peg,p ˈɛ ɡ,p ˈɛ ɡ
rise,rise,ɹ ˈaɪ z,ɹ ˈaɪ z
ma,ma,m ˈɑ,m ˈɑ
deb,deb,d ˈɛ b,d ˈɛ b
jogs,jogs,d͡ʒ ˈɔ ɡ z,d͡ʒ ˈɔ ɡ z
mend,mend,m ˈɛ n d,m ˈɛ n d
wound,wound,w ˈu n d,w ˈu n d
weigh,weigh,w ˈeɪ,w ˈeɪ
neighbour,neigh.bour,n ˈeɪ b ɚ,n ˈeɪ . b ɚ
bubbles,bub.bles,b ˈʌ b ə l z,b ˈʌ . b ə l z
sleigh,sleigh,s l ˈeɪ,s l ˈeɪ
neigh,neigh,n ˈeɪ,n ˈeɪ
ant,ant,ˈæ n t,ˈæ n t
beautiful,beau.ti.ful,b j ˈu t ɪ f ə l,b j ˈu . t ɪ . f ə l
pencils,pen.cils,p ˈɛ n s ə l z,p ˈɛ n . s ə l z
fives,fives,f ˈaɪ v z,f ˈaɪ v z
whale,whale,w ˈeɪ l,w ˈeɪ l
blind,blind,b l ˈaɪ n d,b l ˈaɪ n d
breathing,breath.ing,b ɹ ˈi ð ɪ ŋ,b ɹ ˈi . ð ɪ ŋ
touching,touch.ing,t ˈʌ t͡ʃ ɪ ŋ,t ˈʌ t͡ʃ . ɪ ŋ
puddle,pud.dle,p ˈʌ d ə l,p ˈʌ d . ə l
chow,chow,t͡ʃ ˈaʊ,t͡ʃ ˈaʊ
tire,tire,t ˈaɪ ɚ,t ˈaɪ ɚ
tow,tow,t ˈoʊ,t ˈoʊ
minecraft,mine.craft,m ˈaɪ n k ɹ ˌæ f t,m ˈaɪ n . k ɹ ˌæ f t
mining,min.ing,m ˈaɪ n ɪ ŋ,m ˈaɪ . n ɪ ŋ
steak,steak,s t ˈeɪ k,s t ˈeɪ k
caves,caves,k ˈeɪ v z,k ˈeɪ v z
wraith,wraith,ɹ ˈeɪ θ,ɹ ˈeɪ θ
inventory,in.ven.to.ry,ˌɪ n v ə n t ˈɔ ɹ i,ˌɪ n . v ə n . t ˈɔ ɹ . i
coal,coal,k ˈoʊ l,k ˈoʊ l
village,vil.lage,v ˈɪ l ɪ d͡ʒ,v ˈɪ l . ɪ d͡ʒ
witch,witch,w ˈɪ t͡ʃ,w ˈɪ t͡ʃ
cackling,cackling,k ˈæ k ə l ɪ ŋ,k ˈæ k ə l ɪ ŋ
ignored,ignored,ɪ ɡ n ˈɔ ɹ d,ɪ ɡ n ˈɔ ɹ d
event,e.vent,ɪ v ˈɛ n t,ɪ . v ˈɛ n t
birch,birch,b ˈɚ t͡ʃ,b ˈɚ t͡ʃ
cod,cod,k ˈɑ d,k ˈɑ d
axe,axe,ˈæ k s,ˈæ k s
lava,la.va,l ˈɑ v ə,l ˈɑ . v ə
rod,rod,ɹ ˈɑ d,ɹ ˈɑ d
burning,burn.ing,b ˈɚ n ɪ ŋ,b ˈɚ . n ɪ ŋ
trading,trad.ing,t ɹ ˈeɪ d ɪ ŋ,t ɹ ˈeɪ . d ɪ ŋ
produced,pro.duced,p ɹ ə d ˈu s t,p ɹ ə . d ˈu s t
events,e.vents,ɪ v ˈɛ n t s,ɪ . v ˈɛ n t s
computer,com.put.er,k ə m p j ˈu t ɚ,k ə m . p j ˈu . t ɚ
primary,pri.ma.ry,p ɹ ˈaɪ m ˌɛ ɹ i,p ɹ ˈaɪ . m ˌɛ ɹ . i
powerful,pow.er.ful,p ˈaʊ ɚ f ə l,p ˈaʊ . ɚ . f ə l
moderate,mod.er.ate,m ˈɑ d ɚ ɪ t,m ˈɑ . d ɚ . ɪ t
pleasant,pleas.ant,p l ˈɛ z ə n t,p l ˈɛ z . ə n t
pairs,pairs,p ˈɛ ɹ z,p ˈɛ ɹ z
secondary,sec.ond.ar.y,s ˈɛ k ə n d ˌɛ ɹ i,s ˈɛ k . ə n . d ˌɛ ɹ . i
awesome,awe.some,ˈɔ s ə m,ˈɔ . s ə m
color,col.or,k ˈʌ l ɚ,k ˈʌ l . ɚ
built,built,b ˈɪ l t,b ˈɪ l t
frustrated,frus.trat.ed,f ɹ ˈʌ s t ɹ ˌeɪ t ɪ d,f ɹ ˈʌ s . t ɹ ˌeɪ . t ɪ d
washes,washes,w ˈɔ ʃ ɪ z,w ˈɔ ʃ ɪ z
driver,driv.er,d ɹ ˈaɪ v ɚ,d ɹ ˈaɪ . v ɚ
paramedic,par.a.med.ic,p ˌɛ ɹ ə m ˈɛ d ɪ k,p ˌɛ ɹ . ə . m ˈɛ d . ɪ k
siren,si.ren,s ˈaɪ ɹ ə n,s ˈaɪ ɹ . ə n
motor,mo.tor,m ˈoʊ t ɚ,m ˈoʊ . t ɚ
tar,tar,t ˈɑ ɹ,t ˈɑ ɹ
center,cen.ter,s ˈɛ n t ɚ,s ˈɛ n . t ɚ
bumpy,bump.y,b ˈʌ m p i,b ˈʌ m . p i
mechanic,me.chan.ic,m ɪ k ˈæ n ɪ k,m ɪ . k ˈæ n . ɪ k
photos,pho.toes,f ˈoʊ t oʊ z,f ˈoʊ . t oʊ z
aunt,aunt,ˈæ n t,ˈæ n t
tangled,tan.gled,t ˈæ ŋ ɡ ə l d,t ˈæ ŋ . ɡ ə l d
booms,booms,b ˈu m z,b ˈu m z
intruders,in.trud.ers,ɪ n t ɹ ˈu d ɚ z,ɪ n . t ɹ ˈu . d ɚ z
originate,o.rig.i.nate,ɚ ˈɪ d͡ʒ ə n ˌeɪ t,ɚ . ˈɪ d͡ʒ . ə n . ˌeɪ t
distance,dis.tance,d ˈɪ s t ə n s,d ˈɪ s . t ə n s
remote,re.mote,ɹ ɪ m ˈoʊ t,ɹ ɪ . m ˈoʊ t
internal,in.ter.nal,ɪ n t ˈɚ n ə l,ɪ n . t ˈɚ . n ə l
tropical,trop.i.cal,t ɹ ˈɑ p ɪ k ə l,t ɹ ˈɑ . p ɪ . k ə l
attached,attached,ə t ˈæ t͡ʃ t,ə t ˈæ t͡ʃ t
keepers,keep.ers,k ˈi p ɚ z,k ˈi . p ɚ z
weaver,wea.ver,w ˈi v ɚ,w ˈi . v ɚ
